,NU_INSCRICAO,NU_NOTA_MT
0,73ff9fcc02f0a99919906c942c2e1a1042cdcf98,424.37827087070474
1,71a95f9f1b91a82c65ad94abbdf9f54e6066f968,482.47408063477707
2,b38a03232f43b11c9d0788abaf060f7366053b6d,560.1307991204753
3,70b682d9a3636be23f6120fa9d6b164eb3c6002d,-2.8175286806471718
4,715494628a50142ce8cb17191cfe6d0f3cae0934,547.6129440063862
5,e656d6bad65c93fb2880f1eba5037008c8e75774,475.5913029290848
6,465cd2a6907fb37d9d8ad3c065f0e2dabdba9b13,537.0167623978116
7,11539e86171bf07d3a36f09377d7f54ebcc8406a,413.1967918545731
8,043c544a2104aa8a9849f1a703a08d37a2f16839,493.0048716935987
9,76ba050e64ad100b856f0eaabd8f539d5c7dd185,462.72459109740447
10,8b7c167ea7b55c8168ec60c3851b1b598a8fbd11,-2.8175286806471718
11,db4da599aab5bb08dce27094a35fd3e36cd0abce,-2.8175286806471718
12,940aede382ccb332fab15d413217695ec44ca765,485.93755270576116
13,9ad714b116da76d878dd399d187fccc2dd13dd63,520.3616400895557
14,dd34464a4d780b12a089347ad580418ac57a3055,502.650414514896
15,f837a4cb05a5fd59d20138182f5e8c721eadd584,528.6160270851944
16,fbfa8cde21a692b51fb86342110b4a334a0fcfdb,-2.8175286806471718
17,ca8477c8493b09f34d17bb287f9bacf2dd744c32,-2.8175286806471718
18,8b0c675d7fde14953668269d378c588f0df0498b,-2.8175286806471718
19,051c4f04fcbe385e1b3964aeb87f0a41d7f203d0,399.9461474296014
20,3d203727f27abd83b71732d88d8cb1cc099f363b,425.3850367044832
21,d30d31c8ff45094e9a992c63d4a6f68b245a341a,116.68024665782599
22,c0c6a803c271a955a7085a59cd3d4d43bcf7a1a6,-2.8175286806471718
23,cbc301183dec912f3513ca766bf03dd565f3a38f,517.2736951787845
24,856aa14bcd11bd289a3b970aab0ce1b166f2c50f,609.4309282789507
25,11282da1ee78c8db45a041db4c744e33df489df0,469.9210922019804
26,03c67f683a415c2ea09b582248bd4cb08528c19d,566.3060927858864
27,046e844fb06a07ba30b41521f0065a8d9c6e5024,398.2924609799975
28,b296bc595a212a2f89a35470a4bdbb3bfc3f7f1a,442.3331942126858
29,153eebe4d270fe850d2ede7f53cbc81a6f4ddf91,-2.8175286806471718
30,a4e821c6f16fdae0a26cbbb7018b75812dfd074b,-2.8175286806471718
31,f66c2e5ff22a95fa532e78c7c4bf1d145247211d,405.59325422530543
32,17f0dd5abd53dea135ffd020e8e8e0761b3a56aa,546.6939387798018
